tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
306667,tt3421204,Horse Camp,Horse Camp,Horse Camp,108.0,Family,"[10751, 18]",6.7,82,2014-12-31,2015-01-10,5.5,2,0.6,0,250000,0
256961,tt3450650,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,94.0,"Action,Comedy,Crime","[28, 35, 10751]",4.4,30828,2015-04-17,2015-04-17,5.0,900,15.940999999999999,71091594,38000000,107650646
281338,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,War for the Planet of the Apes,140.0,"Action,Adventure,Drama","[18, 878, 10752]",7.5,201943,2017-07-14,2017-07-14,7.0,5235,23.445,146880162,152000000,489592267
345003,tt3453052,10 Days in a Madhouse,10 Days in a Madhouse,10 Days in a Madhouse,111.0,Drama,[18],6.7,1114,2015-11-11,2015-11-20,5.4,7,0.955,14616,12000000,14616
273248,tt3460252,The Hateful Eight,The Hateful Eight,The Hateful Eight,168.0,"Crime,Drama,Mystery","[80, 18, 9648, 37]",7.8,434966,2015-12-25,2015-12-25,7.7,8065,20.680999999999997,54117416,62000000,147864886
254320,tt3464902,The Lobster,The Lobster,The Lobster,119.0,"Comedy,Drama,Romance","[53, 35, 18, 10749, 878]",7.1,182622,2016-03-25,2016-05-13,6.9,2895,15.64,9196278,4500000,18019834
324852,tt3469046,Despicable Me 3,Despicable Me 3,Despicable Me 3,89.0,"Adventure,Animation,Comedy","[28, 16, 35, 10751, 12]",6.3,92580,2017-06-30,2017-06-30,6.3,4106,16.407,264624300,75000000,1034727750
335797,tt3470600,Sing,Sing,Sing,108.0,"Animation,Comedy,Family","[16, 35, 18, 10751]",7.1,115951,2016-12-21,2016-12-21,6.9,4303,17.572,270329045,75000000,634454789
307663,tt3480796,Vice,Vice,Vice,96.0,"Action,Adventure,Sci-Fi","[53, 878, 28, 12]",4.2,14436,2018-12-25,2015-01-16,4.3,312,14.640999999999998,47836282,60000000,70883171
307663,tt6266538,Vice,Vice,Vice,132.0,"Biography,Comedy,Drama","[53, 878, 28, 12]",7.2,72855,2018-12-25,2015-01-16,4.3,312,14.640999999999998,47836282,60000000,70883171
